SiteID,SiteName,SampleDate,Year,Quadrat_Num,Elevation_Position,Species,Percent_Cover
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Halosaccion glandiforme,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Upper (1.5 m MLLW),bare substrate,76
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Upper (1.5 m MLLW),barnacle,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,10,Upper (1.5 m MLLW),Mytilus trossulus,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Mid (0.5 m MLLW),Alaria marginata,80
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Mid (0.5 m MLLW),Cryptosiphonia woodii,12
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,40
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Upper (1.5 m MLLW),bare substrate,52
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Upper (1.5 m MLLW),barnacle,24
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Upper (1.5 m MLLW),Fucus distichus,16
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,11,Upper (1.5 m MLLW),Mytilus trossulus,20
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),Alaria marginata,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),bare substrate,20
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,8
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Upper (1.5 m MLLW),bare substrate,68
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Upper (1.5 m MLLW),barnacle,32
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2023-07-03,2023,12,Upper (1.5 m MLLW),Mytilus trossulus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Mid (0.5 m MLLW),Alaria marginata,56
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Mid (0.5 m MLLW),Halosaccion glandiforme,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Upper (1.5 m MLLW),bare substrate,36
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Upper (1.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,1,Upper (1.5 m MLLW),Mytilus trossulus,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),Alaria marginata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),bare substrate,60
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),barnacle,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),Boreophyllum / Pyropia / Wildemania spp.,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Upper (1.5 m MLLW),bare substrate,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Upper (1.5 m MLLW),barnacle,16
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Upper (1.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,2,Upper (1.5 m MLLW),Mytilus trossulus,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),Alaria marginata,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),bare substrate,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),Halosaccion glandiforme,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Upper (1.5 m MLLW),bare substrate,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Upper (1.5 m MLLW),barnacle,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Upper (1.5 m MLLW),Fucus distichus,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,3,Upper (1.5 m MLLW),Mytilus trossulus,84
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Mid (0.5 m MLLW),Alaria marginata,32
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Mid (0.5 m MLLW),bare substrate,16
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Mid (0.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Upper (1.5 m MLLW),bare substrate,48
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Upper (1.5 m MLLW),Mytilus trossulus,52
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,4,Upper (1.5 m MLLW),non-coralline algal crust,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),Alaria marginata,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),bare substrate,16
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),barnacle,32
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),Mytilus trossulus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Mid (0.5 m MLLW),Soranthera ulvoidea,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Upper (1.5 m MLLW),bare substrate,60
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Upper (1.5 m MLLW),barnacle,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Upper (1.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,5,Upper (1.5 m MLLW),Mytilus trossulus,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Mid (0.5 m MLLW),Alaria marginata,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Mid (0.5 m MLLW),bare substrate,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Mid (0.5 m MLLW),barnacle,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Mid (0.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Upper (1.5 m MLLW),bare substrate,32
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Upper (1.5 m MLLW),barnacle,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Upper (1.5 m MLLW),Mytilus trossulus,28
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,6,Upper (1.5 m MLLW),unidentified sponge,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Mid (0.5 m MLLW),Alaria marginata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Mid (0.5 m MLLW),bare substrate,32
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Mid (0.5 m MLLW),barnacle,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Mid (0.5 m MLLW),Mytilus trossulus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Upper (1.5 m MLLW),bare substrate,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Upper (1.5 m MLLW),barnacle,16
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,7,Upper (1.5 m MLLW),Mytilus trossulus,40
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Mid (0.5 m MLLW),Alaria marginata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Mid (0.5 m MLLW),bare substrate,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Mid (0.5 m MLLW),Soranthera ulvoidea,40
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Upper (1.5 m MLLW),bare substrate,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Upper (1.5 m MLLW),barnacle,40
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Upper (1.5 m MLLW),Fucus distichus,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Upper (1.5 m MLLW),Gloiopeltis furcata,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,8,Upper (1.5 m MLLW),Mytilus trossulus,16
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),Alaria marginata,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),bare substrate,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),Fucus distichus,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),Halosaccion glandiforme,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Upper (1.5 m MLLW),bare substrate,52
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Upper (1.5 m MLLW),barnacle,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Upper (1.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,9,Upper (1.5 m MLLW),Mytilus trossulus,36
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),Alaria marginata,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),bare substrate,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),barnacle,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),Fucus distichus,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),Halosaccion glandiforme,20
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Mid (0.5 m MLLW),Palmaria hecatensis/Devaleraea mollis,8
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Upper (1.5 m MLLW),bare substrate,32
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Upper (1.5 m MLLW),barnacle,12
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Upper (1.5 m MLLW),Cryptosiphonia woodii,4
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Upper (1.5 m MLLW),Fucus distichus,44
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,10,Upper (1.5 m MLLW),Mytilus trossulus,36
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,11,Mid (0.5 m MLLW),bare substrate,64
AKP_B10_RI_01,Kukak Bay,2022-07-14,2022,11,Mid (0.5 m MLLW),barnacle,4
