SiteID,SiteName,SampleDate,Year,Elevation_Position,Quadrat_Num,Valid_Synonym,Lump_Name,SpeciesCount,Points_In_Quad,PercentCover
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Devalerea callophyloides,Devaleraea / Palmaria spp.,9,49,18.37
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Fucus distichus,Fucus distichus,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Halosaccion glandiforme,Halosaccion glandiforme,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Pylaiella littoralis,Pylaiella littoralis,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),5,Tokidadendron bullatum,Phycodrys / Tokidadendron spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,bare substrate,bare substrate,20,49,40.82
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,barnacle spat,barnacle,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,Devalerea callophyloides,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,Fucus distichus,Fucus distichus,19,49,38.78
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,Pylaiella littoralis,Pylaiella littoralis,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,Scytosiphon lomentaria,Melanosiphon / Scytosiphon spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),6,unidentified filamentous red algae,unidentified filamentous red algae,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Alaria marginata,Alaria marginata,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,barnacle spat,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Devalerea callophyloides,Devaleraea / Palmaria spp.,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Devalerea mollis,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Fucus distichus,Fucus distichus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Halosaccion glandiforme,Halosaccion glandiforme,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Polyostea bipinnata,Polyostea / Polysiphonia spp.,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Pylaiella littoralis,Pylaiella littoralis,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,Tokidadendron bullatum,Phycodrys / Tokidadendron spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),7,unidentified filamentous red algae,unidentified filamentous red algae,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,bare substrate,bare substrate,7,49,14.29
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,Fucus distichus,Fucus distichus,12,49,24.49
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,Halosaccion glandiforme,Halosaccion glandiforme,9,49,18.37
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,Polyostea bipinnata,Polyostea / Polysiphonia spp.,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),8,Pylaiella littoralis,Pylaiella littoralis,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Alaria marginata,Alaria marginata,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,bare substrate,bare substrate,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Devalerea callophyloides,Devaleraea / Palmaria spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Fucus distichus,Fucus distichus,13,49,26.53
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Halosaccion glandiforme,Halosaccion glandiforme,12,49,24.49
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),9,Pylaiella littoralis,Pylaiella littoralis,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Balanus glandula,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,bare substrate,bare substrate,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Chthamalus dalli,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Devalerea callophyloides,Devaleraea / Palmaria spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Fucus distichus,Fucus distichus,10,49,20.41
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Halosaccion glandiforme,Halosaccion glandiforme,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Polyostea bipinnata,Polyostea / Polysiphonia spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),10,Pylaiella littoralis,Pylaiella littoralis,10,49,20.41
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,bare substrate,bare substrate,10,49,20.41
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Fucus distichus,Fucus distichus,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Halosaccion glandiforme,Halosaccion glandiforme,12,49,24.49
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,10,49,20.41
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Palmaria hecatensis,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Polyostea bipinnata,Polyostea / Polysiphonia spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),11,Pylaiella littoralis,Pylaiella littoralis,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,bare substrate,bare substrate,12,49,24.49
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,Fucus distichus,Fucus distichus,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,Halosaccion glandiforme,Halosaccion glandiforme,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,15,49,30.61
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,Polyostea bipinnata,Polyostea / Polysiphonia spp.,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Mid (0.5 m MLLW),12,Pylaiella littoralis,Pylaiella littoralis,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Balanus glandula,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,bare substrate,bare substrate,13,49,26.53
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,barnacle spat,barnacle,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Chthamalus dalli,barnacle,11,49,22.45
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Fucus distichus,Fucus distichus,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Gloiopeltis furcata,Gloiopeltis furcata,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Mytilus trossulus,Mytilus trossulus,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),1,Scytosiphon lomentaria,Melanosiphon / Scytosiphon spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),2,bare substrate,bare substrate,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),2,barnacle spat,barnacle,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),2,Chthamalus dalli,barnacle,24,49,48.98
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),2,Fucus distichus,Fucus distichus,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),2,Mytilus trossulus,Mytilus trossulus,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Alaria marginata,Alaria marginata,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,bare substrate,bare substrate,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Devalerea callophyloides,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Fucus distichus,Fucus distichus,11,49,22.45
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Halosaccion glandiforme,Halosaccion glandiforme,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Melanosiphon intestinalis,Melanosiphon / Scytosiphon spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Polyostea bipinnata,Polyostea / Polysiphonia spp.,6,49,12.24
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),3,Pylaiella littoralis,Pylaiella littoralis,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,Balanus glandula,barnacle,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,bare substrate,bare substrate,16,49,32.65
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,Boreophyllum / Pyropia / Wildemania spp.,Boreophyllum / Pyropia / Wildemania spp.,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,Fucus distichus,Fucus distichus,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,Mytilus trossulus,Mytilus trossulus,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),4,Polyostea bipinnata,Polyostea / Polysiphonia spp.,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),5,bare substrate,bare substrate,6,49,12.24
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),5,Fucus distichus,Fucus distichus,28,49,57.14
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),5,Melanosiphon intestinalis,Melanosiphon / Scytosiphon spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),5,Pylaiella littoralis,Pylaiella littoralis,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),6,Balanus glandula,barnacle,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),6,bare substrate,bare substrate,20,49,40.82
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),6,Fucus distichus,Fucus distichus,21,49,42.86
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),6,Pylaiella littoralis,Pylaiella littoralis,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,Balanus glandula,barnacle,6,49,12.24
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,bare substrate,bare substrate,6,49,12.24
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,Chthamalus dalli,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,Fucus distichus,Fucus distichus,31,49,63.27
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,Mytilus trossulus,Mytilus trossulus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),7,Polyostea bipinnata,Polyostea / Polysiphonia spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,bare substrate,bare substrate,19,49,38.78
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,Fucus distichus,Fucus distichus,21,49,42.86
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,Gloiopeltis furcata,Gloiopeltis furcata,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,Halosaccion glandiforme,Halosaccion glandiforme,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),8,Pylaiella littoralis,Pylaiella littoralis,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),9,Balanus glandula,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),9,bare substrate,bare substrate,13,49,26.53
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),9,Fucus distichus,Fucus distichus,19,49,38.78
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),9,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),9,Pylaiella littoralis,Pylaiella littoralis,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Balanus glandula,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,bare substrate,bare substrate,15,49,30.61
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Chthamalus dalli,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Fucus distichus,Fucus distichus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Halosaccion glandiforme,Halosaccion glandiforme,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Melanosiphon intestinalis,Melanosiphon / Scytosiphon spp.,11,49,22.45
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Mytilus trossulus,Mytilus trossulus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),10,Polyostea bipinnata,Polyostea / Polysiphonia spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),11,Balanus glandula,barnacle,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),11,bare substrate,bare substrate,31,49,63.27
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),11,barnacle spat,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),11,Chthamalus dalli,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),11,Fucus distichus,Fucus distichus,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,bare substrate,bare substrate,30,49,61.22
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Chthamalus dalli,barnacle,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Cryptosiphonia woodii,Cryptosiphonia woodii,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Fucus distichus,Fucus distichus,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Mytilus trossulus,Mytilus trossulus,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2006-06-22,2006,Upper (1.5 m MLLW),12,Polyostea bipinnata,Polyostea / Polysiphonia spp.,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Alaria marginata,Alaria marginata,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,bare substrate,bare substrate,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,barnacle spat,barnacle,9,49,18.37
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Devalerea spp.,Devaleraea / Palmaria spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Fucus distichus,Fucus distichus,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Halosaccion glandiforme,Halosaccion glandiforme,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),1,Pylaiella littoralis,Pylaiella littoralis,14,49,28.57
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Alaria marginata,Alaria marginata,20,49,40.82
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,bare substrate,bare substrate,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Devalerea spp.,Devaleraea / Palmaria spp.,5,49,10.2
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Halosaccion glandiforme,Halosaccion glandiforme,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Melanosiphon intestinalis,Melanosiphon / Scytosiphon spp.,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,7,49,14.29
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),2,Pylaiella littoralis,Pylaiella littoralis,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,Alaria marginata,Alaria marginata,13,49,26.53
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,bare substrate,bare substrate,1,49,2.04
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,barnacle spat,barnacle,2,49,4.08
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,Devalerea spp.,Devaleraea / Palmaria spp.,8,49,16.33
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,Halosaccion glandiforme,Halosaccion glandiforme,9,49,18.37
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,Neorhodomela oregona,Odonthalia / Neorhodomela spp.,4,49,8.16
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),3,Pylaiella littoralis,Pylaiella littoralis,3,49,6.12
AKP_B10_RI_01,Kukak Bay,2007-07-03,2007,Mid (0.5 m MLLW),4,Alaria marginata,Alaria marginata,38,49,77.55
