Kingdom,Phylum,Class,Order,Family,Genus,Species,Sampling_ScientificName,Type,Taxon_Authority,Taxon_AuthorityID
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Neoptilota,Neoptilota asplenioides,.,red algae,AlgaeBase,4678
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela larix,.,red algae,AlgaeBase,5012
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela oregona,.,red algae,AlgaeBase,4816
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela spp.,.,red algae,AlgaeBase,36938
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,.,red algae,AlgaeBase,5017
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia spp.,.,red algae,AlgaeBase,32792
Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria callophylloides,.,red algae,AlgaeBase,17538
Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria hecatensis,.,red algae,AlgaeBase,5021
Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria mollis,.,red algae,AlgaeBase,5022
Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria spp.,.,red algae,AlgaeBase,37291
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,Petalonia fascia,.,brown algae,AlgaeBase,75
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys fimbriata,.,red algae,AlgaeBase,4755
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys spp.,.,red algae,AlgaeBase,32780
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Pleonosporium,Pleonosporium vancouverianum,.,red algae,AlgaeBase,5275
Plantae,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium pacificum,.,red algae,AlgaeBase,15740
Animalia,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,Pododesmus macrochisma,.,mollusk,ITIS,79792
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polyostea,Polyostea spp.,.,red algae,AlgaeBase,42654
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia spp.,.,red algae,AlgaeBase,37461
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia ,Pterosiphonia bipinnata,.,red algae,AlgaeBase,4851
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,Pterosiphonia spp.,.,red algae,AlgaeBase,33076
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Ptilota,Ptilota spp.,.,red algae,AlgaeBase,32773
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,Pylaiella,Pylaiella littoralis,.,brown algae,AlgaeBase,47
Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia spp.,.,red algae,AlgaeBase,50308
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ralfsiaceae,Ralfsia,Ralfsia fungiformis,.,brown algae,AlgaeBase,994
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ralfsiaceae,Ralfsia,Ralfsia spp.,.,brown algae,AlgaeBase,32903
Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Rhodochortonaceae,Rhodochorton,Rhodochorton purpureum,.,red algae,AlgaeBase,7
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,.,brown algae,AlgaeBase,129132
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina sessilis,.,brown algae,AlgaeBase,73746
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon lomentaria,.,brown algae,AlgaeBase,76
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon spp.,.,brown algae,AlgaeBase,66
Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,Semibalanus,Semibalanus balanoides,.,crustacean,ITIS,89687
Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,Semibalanus,Semibalanus cariosus,.,crustacean,ITIS,89688
Animalia,Anthropoda,Maxillopoda,Sessilia,Archaeobalanidae,Semibalanus,Semibalanus spp.,.,crustacean,ITIS,89686
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Soranthera,Soranthera ulvoidea,.,brown algae,AlgaeBase,4899
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Spirorbidae,Spirorbidae spp.,.,brown algae,AlgaeBase,4899
Animalia,Bryozoa,Gymnolaemata,Cheilostomata,Stomachetosella,Stomachetosella,Stomachetosella cruenta,.,bryozoan,ITIS,156276
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Tokidadendron,Tokidadendron bullatum,.,red algae,AlgaeBase,12830
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Tokidadendron,Tokidadendron spp.,.,red algae,AlgaeBase,41993
Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,Ulothrix flacca,.,green algae,AlgaeBase,208
Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva spp.,.,green algae,ITIS,6559
Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Wildemania,Wildemania spp.,.,red algae,AlgaeBase,43339
