Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,NumberPrimaryCores,PrimaryMusselCount,NumberAdditionalCores,AdditionalMusselCount
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,4,1,37,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,5,0,.,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,6,1,19,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,7,1,18,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,8,0,.,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,9,1,13,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/6/2012,2012,10,1,2,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,1,1,16,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,2,1,34,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,3,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,4,1,18,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,5,1,46,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,6,1,0,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,7,1,35,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,8,1,18,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,9,1,1,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/10/2013,2013,10,1,6,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,1,1,46,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,2,1,11,2,8
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,3,1,0,1,17
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,4,1,70,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,5,1,52,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,6,1,111,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,7,1,27,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,8,1,73,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,9,1,8,3,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,10,1,10,8,30
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,1,1,51,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,2,1,41,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,3,1,0,8,12
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,4,1,1,3,42
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,5,1,63,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,6,1,0,8,23
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,7,1,0,5,24
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,8,1,46,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,9,1,40,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,10,1,25,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,1,1,7,2,37
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,2,1,7,3,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,3,1,12,1,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,4,1,0,8,13
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,5,1,15,2,10
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,6,1,7,3,14
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,7,1,10,1,9
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,8,1,2,8,12
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,9,1,29,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,10,1,5,6,22
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,1,1,67,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,2,1,0,8,3
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,3,1,0,4,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,4,1,7,8,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,5,1,14,1,51
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,6,1,0,2,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,7,1,9,2,14
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,8,1,21,2,61
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,9,1,11,1,33
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,10,1,13,2,28
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,1,1,51,1,55
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,2,1,37,1,20
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,3,1,60,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,4,1,18,1,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,5,1,28,3,62
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,6,1,59,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,7,1,1,8,16
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,8,1,0,5,64
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,9,1,28,1,26
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,10,1,108,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,1,1,33,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,2,1,26,1,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,3,1,13,2,13
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,4,1,28,1,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,5,1,6,1,56
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,6,1,10,1,13
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,7,1,7,1,27
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,8,1,14,1,93
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,9,1,4,8,50
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,10,1,0,8,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,1,1,9,1,18
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,2,1,4,4,10
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,3,1,0,8,9
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,4,1,30,4,46
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,5,1,2,8,2
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,6,1,0,3,39
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,7,1,2,1,8
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,8,1,0,2,35
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,9,1,0,3,34
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,10,1,0,8,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,1,1,98,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,2,1,38,0,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,3,1,0,8,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,4,1,0,4,54
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,5,1,0,2,66
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,6,1,0,8,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,7,1,0,2,25
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,8,1,7,8,40
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,9,1,0,8,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,10,1,46,1,33
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,1,1,5,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,2,1,15,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,3,1,4,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,4,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,5,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,6,1,21,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,7,1,15,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,8,1,30,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,9,1,46,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2008,2008,10,1,48,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,1,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,2,1,17,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,3,1,14,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,4,1,37,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,5,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,6,1,7,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,7,1,18,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,8,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,9,1,6,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/10/2009,2009,10,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,1,1,3,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,2,1,5,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,3,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,4,1,9,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,5,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,6,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,7,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,8,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,9,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2010,2010,10,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,1,1,27,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,2,1,2,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,3,1,2,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,4,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,5,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,6,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,7,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,8,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,9,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2012,2012,10,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,1,1,8,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,2,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,3,1,36,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,4,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,5,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,6,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,7,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,8,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,9,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/9/2013,2013,10,1,3,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,1,1,0,8,2
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,2,1,30,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,3,1,20,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,4,1,45,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,5,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,6,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,7,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,8,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,9,1,52,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/15/2014,2014,10,1,139,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,1,1,19,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,2,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,3,1,0,4,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,4,1,1,1,12
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,5,0,.,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,6,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,7,1,0,8,2
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,8,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,9,1,41,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/5/2015,2015,10,1,5,1,8
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,1,1,0,8,26
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,2,1,15,6,17
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,3,1,0,8,13
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,4,1,0,8,1
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,5,1,4,8,5
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,6,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,7,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,8,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,9,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/6/2016,2016,10,1,2,8,5
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,1,1,0,8,2
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,2,1,0,4,26
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,3,1,0,8,5
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,4,1,42,5,19
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,5,1,0,8,12
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,6,1,0,8,5
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,7,1,0,8,1
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,8,1,8,2,33
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,9,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,6/26/2017,2017,10,1,1,8,13
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,1,1,18,2,56
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,2,1,63,1,106
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,3,1,0,2,85
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,4,1,0,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,5,1,0,6,32
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,6,1,212,3,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,7,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,8,1,173,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,9,1,54,2,33
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2018,2018,10,1,61,1,207
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,1,1,25,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,2,1,32,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,3,1,16,1,26
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,4,1,4,2,38
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,5,1,0,8,23
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,6,1,0,8,1
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,7,1,2,8,4
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,8,1,1,4,15
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,9,1,19,5,7
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/3/2019,2019,10,1,43,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,1,1,7,2,17
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,2,1,5,8,15
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,3,1,0,2,9
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,4,1,0,8,12
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,5,1,10,1,11
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,6,1,1,3,18
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,7,1,1,5,18
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,8,1,6,1,18
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,9,1,0,6,14
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/12/2021,2021,10,1,20,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,1,1,9,2,26
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,2,1,0,8,20
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,3,1,11,5,78
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,4,1,23,0,.
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,5,1,1,4,29
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,6,1,3,8,11
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,7,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,8,1,0,8,0
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,9,1,3,4,17
AKP,10,KATM,AKP_B10_MI_02,Kaflia,7/19/2022,2022,10,1,34,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,1,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,2,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,3,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,4,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,5,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,6,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,7,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,8,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,9,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/2/2008,2008,10,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,1,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,2,1,2,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,3,1,7,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,4,1,21,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,5,1,41,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,6,1,4,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,7,1,10,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,8,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,9,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/9/2009,2009,10,1,1,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,1,1,11,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,2,1,22,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,3,1,10,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,4,1,8,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,5,1,11,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,6,1,65,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,7,1,0,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,8,1,50,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,9,1,135,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/12/2010,2010,10,1,2,0,.
AKP,10,KATM,AKP_B10_MI_03,Kinak,7/3/2012,2012,1,1,0,0,.
