 Year,Date (YYYY-MM-DD), Region, Site,Latitude,Longitude, Quadrat (m2), Replicate, length (mm), frequency
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,23,7
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,24,3
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,25,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,26,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,27,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,28,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,29,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,5,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,1,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,2,15
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,3,27
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,4,24
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,5,34
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,6,27
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,7,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,8,14
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,9,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,10,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,11,16
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,12,11
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,13,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,14,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,15,18
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,16,16
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,17,15
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,18,14
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,19,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,20,9
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,21,20
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,22,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,23,10
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,24,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,25,3
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,26,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,6,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,1,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,2,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,3,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,4,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,5,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,6,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,7,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,8,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,9,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,10,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,11,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,12,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,13,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,14,3
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,15,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,16,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,17,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,18,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,19,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,20,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,21,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,22,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,23,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,24,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,25,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,26,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,7,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,1,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,2,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,3,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,4,12
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,5,24
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,6,13
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,7,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,8,17
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,9,13
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,10,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,11,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,12,5
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,13,7
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,14,6
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,15,8
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,16,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,17,4
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,18,5
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,19,2
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,20,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,21,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,22,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,23,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,24,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,25,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,26,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,27,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,28,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,29,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,30,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,31,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,32,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,33,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,34,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,8,35,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,1,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,2,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,3,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,4,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,5,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,6,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,7,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,8,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,9,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,10,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,11,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,12,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,13,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,14,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,15,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,16,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,17,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,18,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,19,0
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,20,1
2012,5/6/2012, Kachemak Bay, Cohen Island,59.539,-151.477,0.0625,9,21,0
