Year,Date(YYYY-MM-DD),Region,Site,latitude,longitude,Stratum,Replicate,SubstrateType,PercentCover(%)
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,6,bedrock,10
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,7,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,8,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,9,bedrock,20
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,10,bedrock,70
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,1,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,2,bedrock,95
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,3,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,4,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,5,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,6,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,7,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,8,bedrock,30
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,9,bedrock,70
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,Low,10,bedrock,90
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,1,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,2,bedrock,80
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,3,bedrock,98
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,4,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,5,bedrock,50
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,6,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,7,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,8,bedrock,0
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,9,bedrock,100
2014,5/1/2014,Kachemak Bay,Cohen Island,59.539133,-151.47695,-1 m stratum,10,bedrock,100
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,1,bedrock,50
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,2,bedrock,50
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,3,bedrock,15
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,4,bedrock,10
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,5,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,6,bedrock,100
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,7,bedrock,10
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,9,bedrock,90
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,High,10,bedrock,40
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,1,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,2,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,3,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,4,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,5,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,6,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,7,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,9,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Mid,10,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,1,bedrock,100
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,2,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,3,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,4,bedrock,50
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,5,bedrock,80
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,6,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,7,bedrock,70
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,9,bedrock,0
2014,4/30/2014,Kachemak Bay,Bluff Point,59.6567,-151.671167,Low,10,bedrock,20
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,1,bedrock,n/a
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,2,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,3,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,4,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,5,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,6,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,7,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,9,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,High,10,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,1,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,2,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,3,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,4,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,5,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,6,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,7,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,9,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Mid,10,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,1,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,2,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,3,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,4,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,5,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,6,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,7,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,8,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,9,bedrock,0
2014,4/30/2014,Kachemak Bay,Bishop's Beach,59.642783,-151.601783,Low,10,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,1,bedrock,100
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,2,bedrock,60
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,3,bedrock,60
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,4,bedrock,100
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,5,bedrock,45
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,6,bedrock,100
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,7,bedrock,100
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,8,bedrock,80
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,9,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,High,10,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,1,bedrock,12
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,2,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,3,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,4,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,5,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,6,bedrock,10
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,7,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,8,bedrock,90
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,9,bedrock,40
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Mid,10,bedrock,30
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,1,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,2,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,3,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,4,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,5,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,6,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,7,bedrock,10
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,8,bedrock,20
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,9,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,Low,10,bedrock,60
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,1,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,2,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,3,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,4,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,5,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,6,bedrock,20
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,7,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,8,bedrock,10
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,9,bedrock,0
2014,4/29/2014,Kachemak Bay,Port Graham,59.373333,-151.894167,-1 m stratum,10,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,1,bedrock,100
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,2,bedrock,80
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,3,bedrock,80
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,4,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,5,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,6,bedrock,40
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,7,bedrock,50
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,8,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,9,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,High,10,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,1,bedrock,60
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,2,bedrock,90
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,3,bedrock,80
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,4,bedrock,60
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,5,bedrock,10
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,6,bedrock,55
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,7,bedrock,95
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,8,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,9,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Mid,10,bedrock,90
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,1,bedrock,5
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,2,bedrock,5
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,3,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,4,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,5,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,6,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,7,bedrock,70
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,8,bedrock,80
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,9,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,Low,10,bedrock,40
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,1,bedrock,20
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,2,bedrock,20
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,3,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,4,bedrock,20
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,5,bedrock,90
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,6,bedrock,0
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,7,bedrock,80
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,8,bedrock,45
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,9,bedrock,55
2014,4/28/2014,Kachemak Bay,Outside Beach,59.473611,-151.894167,-1 m stratum,10,bedrock,95
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,1,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,2,bedrock,90
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,3,bedrock,70
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,4,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,5,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,6,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,7,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,8,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,9,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,High,10,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,1,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,2,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,3,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,4,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,5,bedrock,30
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,6,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,7,bedrock,40
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,8,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,9,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Mid,10,bedrock,90
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,1,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,2,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,3,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,4,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,5,bedrock,30
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,6,bedrock,45
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,7,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,8,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,9,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,Low,10,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,1,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,2,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,3,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,4,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,5,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,6,bedrock,0
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,7,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,8,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,9,bedrock,100
2015,5/7/2015,Kachemak Bay,Elephant Island,59.547222,-151.513889,-1 m stratum,10,bedrock,100
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,1,bedrock,10
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,2,bedrock,0
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,3,bedrock,80
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,4,bedrock,20
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,5,bedrock,20
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,6,bedrock,50
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,7,bedrock,85
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,8,bedrock,40
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,9,bedrock,100
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,High,10,bedrock,80
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,1,bedrock,0
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,2,bedrock,0
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,3,bedrock,75
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,4,bedrock,10
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,5,bedrock,100
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,6,bedrock,90
2015,5/6/2015,Kachemak Bay,Cohen Island,59.539133,-151.47695,Mid,7,bedrock,95
