Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,SiteSurveyed,TransectNumber,TransectSampled,TransectPosition,VerticalLength,DistanceCross,QuadratMultiplier,QuadratPosition,QuadratPosition_Overridden,QuadratLength,QuadratHeight,Area,CoreQualifier,QuadQualifier,Primary,Numadd,CoreCount,Notes
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,5,Y,23.41,4.4,1.9,0.67,2.9,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,6,Y,28.41,3.8,0.55,0.83,3.15,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,7,Y,33.41,4.9,2.3,0.76,3.72,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,8,Y,38.41,4,1.25,0.59,2.36,UNK,25,25,0.0625,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,9,Y,43.41,4.9,2,0.24,1.18,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,3,4,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,Yes,10,Y,48.41,5.1,1.55,0.01,0.05,UNK,25,50,0.125,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,1,Y,4.2,1.5,0.3,0.08,0.12,UNK,50,50,0.25,Mussels Present,Mussels Present,Y,0,1,no mussels below 1.5m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,2,Y,9.2,5.7,3.3,0.51,2.9,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,no mussels below 5.7m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,3,Y,14.2,7.4,3.3,0.1,0.74,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,8,9,no mussels below 7.4m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,4,Y,19.2,4.8,2.4,0.42,2,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,3,4,no mussels below 4.8m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,5,Y,24.2,4.6,2.1,0.23,1,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,0,1,no mussels below 4.6m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,6,Y,29.2,3.5,2,0.22,0.77,UNK,50,100,0.5,Mussels Present,Mussels Present,Y,8,9,no mussels below 3.5m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,7,Y,34.2,4.2,1.7,0.15,0.63,UNK,12.5,25,0.0313,Mussels Present,Mussels Present,Y,5,6,no mussels below 4.2m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,8,Y,39.2,6.1,2.7,0.49,2.9,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,no mussels below 6.1m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,9,Y,44.2,4.8,2.3,0.57,2.7,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,no mussels below 4.8m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,Yes,10,Y,49.2,4.1,1.2,0.4,1.6,UNK,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,no mussels below 4.1m
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,1,Y,2.3,1.7,0,0.31,0.5,No,25,25,0.0625,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,2,Y,7.3,5,1.25,0.25,1.3,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,3,4,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,3,Y,12.3,7.3,4.3,0.81,5.9,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,4,Y,17.3,6.6,4.2,0.05,0.3,No,50,50,0.25,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,5,Y,22.3,4.4,2.9,0.41,1.8,No,25,25,0.0625,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,6,Y,27.3,4.3,3,0.98,4.2,No,100,100,1,Mussels Present,Mussels Present,Y,3,4,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,7,Y,32.7,5.1,2.3,0.52,2.7,No,12.5,25,0.0313,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,8,Y,37.3,4.1,1.6,0.08,0.33,No,25,50,0.125,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,9,Y,42.3,4.2,1.7,0.69,2.9,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,Yes - Site Surveyed,10,Y,47.3,5.2,2.2,0.15,0.78,No,25,50,0.125,Mussels Present,Mussels Present,Y,6,7,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,1,Y,0.33,6.9,2.2,0.7,4.83,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,2,Y,5.33,4.4,1.2,0.06,0.26,No,25,50,0.125,Mussels Present,Mussels Present,Y,8,9,No mussels in primary core.
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,3,Y,10.33,9.7,3.5,0.2,1.94,No,25,25,0.0625,Mussels Present,Mussels Present,Y,4,5,No mussels in primary core.
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,4,Y,15.33,11,5.2,0.29,3.19,No,25,50,0.125,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,5,Y,20.33,7.7,2,0.94,7.23,No,25,50,0.125,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,6,Y,25.33,5.1,1.4,0.85,4.33,No,50,50,0.25,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,7,Y,30.33,5.9,1.6,0.31,1.82,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,8,Y,35.33,7.8,1.64,0.69,5.38,No,25,50,0.125,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,9,Y,40.33,7.1,1.9,0.29,2.05,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,6/25/2017,2017,Yes - Site Surveyed,10,Y,45.33,7.6,1.7,0.32,2.43,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,1,Y,3.68,5.1,2,0.7,3.57,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,5.1 goes to 0 tide line. Mussels below.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,2,Y,8.68,10.1,3.5,0.53,5.35,No,12.5,25,0.0313,Mussels Present,Mussels Present,Y,1,2,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,3,Y,13.68,8.6,1.85,0.57,4.9,No,6.25,6.25,0.0039,Mussels Present,Mussels Present,Y,0,1,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,4,Y,18.68,7.6,2.47,0.28,2.12,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,5,Y,23.68,7.1,2.26,0.3,2.13,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,3,4,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,6,Y,28.68,7,2.1,0.77,5.39,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,7,Y,33.68,8,2.1,0.01,0.08,No,25,25,0.0625,Mussels Present,Mussels Present,Y,8,9,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,8,Y,38.68,7.4,1.4,0.76,5.62,No,25,50,0.125,Mussels Present,Mussels Present,Y,5,6,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,9,Y,43.68,8,2.1,0.81,6.48,No,25,25,0.0625,Mussels Present,Mussels Present,Y,1,2,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/11/2018,2018,Yes - Site Surveyed,10,Y,48.68,7.1,1.5,0.7,4.97,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,0,1,mussels below zero
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,1,Y,3.35,4.2,1.05,0.53,2.22,No,6.25,6.25,0.0039,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,2,Y,8.35,7.2,1.95,0.57,4.1,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,3,Y,13.35,10.6,5.3,0.28,2.96,No,25,50,0.125,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,4,Y,18.35,8.3,3.5,0.3,2.49,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,5,Y,23.35,6.4,2.25,0.77,4.92,No,6.25,6.25,0.0039,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,6,Y,28.35,4.6,1,0.01,0.04,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,7,Y,33.35,7.9,2.8,0.76,6,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,8,Y,38.35,7.65,2,0.81,6.19,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,9,Y,43.35,6.35,2.1,0.7,4.44,No,25,25,0.0625,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/2/2019,2019,Yes - Site Surveyed,10,Y,48.35,6.9,1.9,0.04,0.27,No,25,25,0.0625,No Mussels,Mussels Present,Y,8,9,"core = 0, Add8 = 0"
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,1,Y,4.09,1.76,0.25,0.79,1.39,No,12.5,12.5,0.0156,Mussels Present,Mussels Present,Y,1,2,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,2,Y,9.09,5.4,3.8,0.37,1.99,No,12.5,25,0.0313,Mussels Present,Mussels Present,Y,4,5,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,3,Y,14.09,6.7,3.6,0.96,6.43,No,100,100,1,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,4,Y,19.09,5.2,2.9,0.87,4.52,No,25,25,0.0625,Mussels Present,Mussels Present,Y,4,5,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,5,Y,24.09,6.4,2.1,0.05,0.32,No,25,25,0.0625,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,6,Y,29.09,4,1.5,0.94,3.76,No,25,25,0.0625,Mussels Present,Mussels Present,Y,3,4,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,7,Y,34.09,6.6,2.4,0.36,2.37,No,12.5,25,0.0313,Mussels Present,Mussels Present,Y,1,2,Changed distance cross from 2.75 to 2.4 based on diagram and H'
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,8,Y,39.09,5.7,2.5,0.52,2.96,No,25,25,0.0625,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,9,Y,44.09,5,2.3,0.76,3.8,No,12.5,25,0.0313,Mussels Present,Mussels Present,Y,3,4,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/13/2021,2021,Yes - Site Surveyed,10,Y,49.09,5.4,1.8,0.05,0.27,No,25,25,0.0625,No Mussels,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,1,Y,1.96,3.1,0.55,0.86,2.66,No,50,100,0.5,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,2,Y,6.96,7.7,2.4,0.79,6.08,No,100,100,1,Mussels Present,Mussels Present,Y,0,1,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,3,Y,11.96,5.5,1.8,0.37,2.03,No,25,25,0.0625,Mussels Present,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,4,Y,16.96,4.1,2.15,0.96,3.93,No,100,100,1,Mussels Present,Mussels Present,Y,4,5,"in the mud so moved quad up, quad bottom at end of transect"
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,5,Y,21.96,3.4,1,0.87,2.95,No,100,100,1,Mussels Present,Mussels Present,Y,2,3,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,6,Y,26.96,2.7,0.9,0.05,0.13,No,25,50,0.125,No Mussels,Mussels Present,Y,8,9,
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2022,2022,Yes - Site Surveyed,7,Y,31.96,5.6,2.5,0.94,5.26,No,25,50,0.125,Mussels Present,Mussels Present,Y,2,3,
